Model,M,N,K,SM,SN,SK,Q,QN,SP,Method,Time(ms),TFLOPS,Bandwidth(GB/s)
gpt-neo-1.3B,128,2048,2048,128,2048,2048,False,16,TT,MXBLAS,0.0123,86.96,403.40
gpt-neo-1.3B,128,2048,2048,128,2048,2048,False,16,TT,COAT,0.0367,29.24,135.63
gpt-neo-1.3B,128,2048,2048,128,2048,2048,False,16,TT,CUTLASS,0.0230,46.70,216.63
gpt-neo-1.3B,128,2048,2048,128,2048,2048,False,16,TT,TE_CUBLAS,0.0129,83.08,385.39
gpt-neo-1.3B,128,2048,2048,1,128,128,False,16,GB,MXBLAS,0.0136,78.95,366.23
gpt-neo-1.3B,128,2048,2048,1,128,128,False,16,GB,DEEP_GEMM,0.0385,27.89,129.38
gpt-neo-1.3B,128,2048,2048,1,128,128,False,16,GB,CUTLASS,0.0255,42.04,195.03
gpt-neo-1.3B,128,2048,2048,1,128,128,False,16,GB,SG_LANG,0.0238,45.15,209.42
gpt-neo-1.3B,128,2048,2048,128,128,128,False,16,BB,MXBLAS,0.0143,75.06,348.16
gpt-neo-1.3B,128,2048,2048,128,128,128,False,16,BB,FB_GEMM,0.1854,5.79,26.87
gpt-neo-1.3B,128,2048,2048,128,128,128,False,16,BB,CUTLASS,0.0255,42.07,195.14
gpt-neo-1.3B,128,2048,2048,1,1,2048,False,16,CC,MXBLAS,0.0122,88.37,409.94
gpt-neo-1.3B,128,2048,2048,1,1,2048,False,16,CC,FB_GEMM,0.1889,5.68,26.36
gpt-neo-1.3B,128,2048,2048,1,1,2048,False,16,CC,SG_LANG,0.0219,48.99,227.26
gpt-neo-1.3B,128,8192,2048,128,8192,2048,False,16,TT,MXBLAS,0.0198,217.10,967.32
gpt-neo-1.3B,128,8192,2048,128,8192,2048,False,16,TT,COAT,0.0557,77.04,343.27
gpt-neo-1.3B,128,8192,2048,128,8192,2048,False,16,TT,CUTLASS,0.0243,176.95,788.42
gpt-neo-1.3B,128,8192,2048,128,8192,2048,False,16,TT,TE_CUBLAS,0.0210,204.16,909.66
gpt-neo-1.3B,128,8192,2048,1,128,128,False,16,GB,MXBLAS,0.0195,220.03,980.35
gpt-neo-1.3B,128,8192,2048,1,128,128,False,16,GB,DEEP_GEMM,0.0394,109.12,486.19
gpt-neo-1.3B,128,8192,2048,1,128,128,False,16,GB,CUTLASS,0.0262,164.18,731.52
gpt-neo-1.3B,128,8192,2048,1,128,128,False,16,GB,SG_LANG,0.0239,179.44,799.49
gpt-neo-1.3B,128,8192,2048,128,128,128,False,16,BB,MXBLAS,0.0202,212.71,947.73
gpt-neo-1.3B,128,8192,2048,128,128,128,False,16,BB,FB_GEMM,0.0861,49.86,222.17
gpt-neo-1.3B,128,8192,2048,128,128,128,False,16,BB,CUTLASS,0.0269,159.66,711.39
gpt-neo-1.3B,128,8192,2048,1,1,2048,False,16,CC,MXBLAS,0.0206,208.94,930.95
gpt-neo-1.3B,128,8192,2048,1,1,2048,False,16,CC,FB_GEMM,0.1595,26.93,119.97
gpt-neo-1.3B,128,8192,2048,1,1,2048,False,16,CC,SG_LANG,0.0206,208.70,929.86
gpt-neo-1.3B,128,2048,8192,128,2048,8192,False,16,TT,MXBLAS,0.0288,149.08,636.96
gpt-neo-1.3B,128,2048,8192,128,2048,8192,False,16,TT,COAT,0.0687,62.54,267.21
gpt-neo-1.3B,128,2048,8192,128,2048,8192,False,16,TT,CUTLASS,0.0507,84.67,361.76
gpt-neo-1.3B,128,2048,8192,128,2048,8192,False,16,TT,TE_CUBLAS,0.0237,181.13,773.87
gpt-neo-1.3B,128,2048,8192,1,128,128,False,16,GB,MXBLAS,0.0365,117.57,502.30
gpt-neo-1.3B,128,2048,8192,1,128,128,False,16,GB,DEEP_GEMM,0.0411,104.53,446.60
gpt-neo-1.3B,128,2048,8192,1,128,128,False,16,GB,CUTLASS,0.0602,71.38,304.97
gpt-neo-1.3B,128,2048,8192,1,128,128,False,16,GB,SG_LANG,0.0624,68.82,294.03
gpt-neo-1.3B,128,2048,8192,128,128,128,False,16,BB,MXBLAS,0.0388,110.59,472.50
gpt-neo-1.3B,128,2048,8192,128,128,128,False,16,BB,FB_GEMM,0.1351,31.79,135.80
gpt-neo-1.3B,128,2048,8192,128,128,128,False,16,BB,CUTLASS,0.0609,70.53,301.32
gpt-neo-1.3B,128,2048,8192,1,1,8192,False,16,CC,MXBLAS,0.0273,157.50,672.93
gpt-neo-1.3B,128,2048,8192,1,1,8192,False,16,CC,FB_GEMM,0.0966,44.47,189.98
gpt-neo-1.3B,128,2048,8192,1,1,8192,False,16,CC,SG_LANG,0.0197,218.33,932.80
gpt-neo-1.3B,128,50257,2048,128,50257,2048,False,16,TT,MXBLAS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,128,50257,2048,False,16,TT,COAT,0.0852,309.36,1362.59
gpt-neo-1.3B,128,50257,2048,128,50257,2048,False,16,TT,CUTLASS,0.0891,295.81,1302.90
gpt-neo-1.3B,128,50257,2048,128,50257,2048,False,16,TT,TE_CUBLAS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,1,128,128,False,16,GB,MXBLAS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,1,128,128,False,16,GB,DEEP_GEMM,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,1,128,128,False,16,GB,CUTLASS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,1,128,128,False,16,GB,SG_LANG,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,128,128,128,False,16,BB,MXBLAS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,128,128,128,False,16,BB,FB_GEMM,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,128,128,128,False,16,BB,CUTLASS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,1,1,2048,False,16,CC,MXBLAS,nan,nan,nan
gpt-neo-1.3B,128,50257,2048,1,1,2048,False,16,CC,FB_GEMM,0.1023,257.48,1134.05
gpt-neo-1.3B,128,50257,2048,1,1,2048,False,16,CC,SG_LANG,nan,nan,nan
gpt-neo-1.3B,1024,2048,2048,1024,2048,2048,False,16,TT,MXBLAS,0.0193,445.88,544.29
gpt-neo-1.3B,1024,2048,2048,1024,2048,2048,False,16,TT,COAT,0.0530,162.20,197.99
gpt-neo-1.3B,1024,2048,2048,1024,2048,2048,False,16,TT,CUTLASS,0.0387,222.18,271.22
gpt-neo-1.3B,1024,2048,2048,1024,2048,2048,False,16,TT,TE_CUBLAS,0.0241,355.72,434.23
gpt-neo-1.3B,1024,2048,2048,1,128,128,False,16,GB,MXBLAS,0.0212,405.34,494.80
gpt-neo-1.3B,1024,2048,2048,1,128,128,False,16,GB,DEEP_GEMM,0.0423,203.01,247.82
gpt-neo-1.3B,1024,2048,2048,1,128,128,False,16,GB,CUTLASS,0.0442,194.43,237.34
gpt-neo-1.3B,1024,2048,2048,1,128,128,False,16,GB,SG_LANG,0.0378,227.46,277.67
gpt-neo-1.3B,1024,2048,2048,128,128,128,False,16,BB,MXBLAS,0.0230,373.98,456.52
